1,Alberta,3
2,British Columbia,3
3,Manitoba,3
4,New Brunswick,3
5,Newfoundland and Labrador,3
6,Nova Scotia,3
7,Ontario,3
8,Prince Edward Island,3
9,Quebec,3
10,Saskatchewan,3
11,Northwest Territories,3
12,Nunavut,3
13,Yukon,3
